#'Name ',Value,'Definition',
'.forest.treeStand.Species','Ppinaster',' code of the Species name',
'.manager.k_PlowEffect',					3.0	,'plowing coefficient effect',
'.forest.underStorey.roots.DPM_RPM',	        		1.44	,'rate of DPM on RPM fraction of litterfall (kg_d.m. kg_d.m.-1)',
'.forest.underStorey.foliage.DPM_RPM',				1.44	,'rate of DPM on RPM fraction of litterfall (kg_d.m. kg_d.m.-1)',
'.forest.underStorey.perennial.DPM_RPM',			1.44	,'rate of DPM on RPM fraction of litterfall (kg_d.m. kg_d.m.-1)',
'.forest.underStorey.perennial.LitterFallAge',			0.5	,'mean litterfall age (year)',
'.forest.underStorey.foliage.LitterFallAge',			0.5	,'mean litterfall age (year)',
'.forest.underStorey.roots.LitterFallAge',			2.0	,'mean litterfall age (year)',
'.forest.treeStand.Wood_DPM_RPM', 				0.15 , 'DPM/RPM ratio of woody components',
'.forest.treeStand.Leaf_DPM_RPM', 				5.0  , 'DPM/RPM ratio of foliage',
'.forest.treeStand.Root_DPM_RPM', 				1.0  , 'DPM/RPM ratio of roots',
'.forest.treeStand.Wood_Age', 					5.0  , 'mean age of dead wood components (year)',
'.forest.treeStand.Leaf_Age',     				2.0  , 'mean age of dead foliage components (year)',
'.forest.treeStand.Root_Age',     				3.0  , 'mean age of dead roots (year)',
'.forest.underStorey.foliage._DPM_RPM  ',			1.44	,'DPM/RPM ratio of understorey plant parts',
'.forest.underStorey.perennial._DPM_RPM  ',			0.25	,'DPM/RPM ratio of understorey plant parts',
'.forest.underStorey.roots._DPM_RPM ',				1.44	,'DPM/RPM ratio of understorey plant parts',
'.forest.underStorey.foliage.LitterFallAge  ',			1	,'DPM/RPM ratio of understorey plant parts',
'.forest.underStorey.perennial.LitterFallAge  ',		2	,'DPM/RPM ratio of understorey plant parts',
'.forest.underStorey.roots.LitterFallAge ',			2	,'DPM/RPM ratio of understorey plant parts',
